FileName,MapType,DominantLargeStart,DominantLargeDecompressedLength,CarveBoundaryCount,CarveBoundaryFirst,CarveAnchorHits,CarveLenPrefixedTop,CarveDimensionPairs
India.s2m,kingmaker,12739,9605287,145,4096,S2Game@20|Simulation@1755|Floaters@1969|Landscape@2005|FX_ENVIRONMENT_@2268569|FX_ENVIRONMENT_@2268606|FX_ENVIRONMENT_@2268638|FX_ENVIRONMENT_@2268670|FX_ENVIRONMENT_@2268702|FX_ENVIRONMENT_@2268738|FX_ENVIRONMENT_@2268774|FX_ENVIRONMENT_@2268810,Action:1|BuildingHandler:1|Cluster:1|ConnectionLayer:1|Emitter:1|Fox:1|Grass:1|Layer:1|NaturalStone:1|S2Actor:1|S2Fly:1|S2Game:1,512x512:2007|32x32:168|544x544:69|768x768:46|408x100:30|468x113:30|69x69:30|70x70:30
Island Hopping.s2m,freebuild,,,,,,,
Kill Barclay.s2m,warcampaign,13742,10630171,206,4096,S2Game@20|Simulation@1755|Floaters@1969|Landscape@2005,ThickSmokeEmitter:2|Actor:1|ActorGroup:1|Animal:1|BiDiPathfinder:1|Building:1|BuildingMgr:1|BurningLogTipper:1|ClanMgr:1|DesirabilityLayer:1|ElementMgr:1|Emitter:1,137x256:542|256x256:319|41x42:301|1024x1024:200|115x116:182|512x512:174|59x42:160|55x42:148
Lookout Mountain.s2m,freebuild,17821,9728946,117,4096,S2Game@20|Simulation@1767|Floaters@1981|Landscape@2017,ActorAssets:1|BiDiPathfinder:1|BuildingMgr:1|ChannelLayer:1|ClanMgr:1|ContextLayer:1|DangerLayer:1|ElementMgr:1|Emitter:1|Estate:1|EstateLayer:1|EstateRails:1,2048x2048:3081|1024x1024:220|256x256:7|256x512:5|512x512:5|513x257:5|514x515:5|771x771:5
Middlewood.s2m,kingmaker,,,,,,,
Mountain Hideaway.s2m,freebuild,19428,9705954,89,4096,S2Game@20|Simulation@1750|Floaters@1964|Landscape@2000|FX_ENVIRONMENT_@2100760|FX_ENVIRONMENT_@2100796|FX_ENVIRONMENT_@2100832|FX_ENVIRONMENT_@2100868|FX_ENVIRONMENT_@2100904|FX_ENVIRONMENT_@2100940|FX_ENVIRONMENT_@2100976|FX_ENVIRONMENT_@2101012,FX_ENVIRONMENT_WINDLIGHT:8|FX_ENVIRONMENT_INSECTS:2|Actor:1|ActorGroup:1|ActorHandler:1|AutoPlacement:1|ConnectionLayer:1|DeerClan:1|EmitterMgr:1|FX_ENVIRONMENT_MARSH:1|Floaters:1|FlyHandler:1,255x255:65535|512x512:755|128x128:281|32x32:131|768x768:48|544x544:33|512x1024:20|256x256:19
peace_chapter1.s2m,peacecampaign,23730,10533942,252,4096,S2Game@20|Simulation@1750|Floaters@1964|Landscape@2000|FX_ENVIRONMENT_@2100760|FX_ENVIRONMENT_@2100792|FX_ENVIRONMENT_@2100824|FX_ENVIRONMENT_@2100856|FX_ENVIRONMENT_@2100888|FX_ENVIRONMENT_@2100925|FX_ENVIRONMENT_@2100961|FX_ENVIRONMENT_@2100993,FX_ENVIRONMENT_OCEAN:4|FX_ENVIRONMENT_BEACH:3|FX_ENVIRONMENT_BIRDSPARSE:2|FX_ENVIRONMENT_BROOK:2|FX_ENVIRONMENT_RIVER:2|Actor:1|ActorGroup:1|ActorHandler:1|ConnectionLayer:1|ConstructingBeacon:1|ConstructingKeep:1|Dog:1,255x255:63827|128x128:2590|256x256:2431|32x32:500|512x512:273|1024x1024:77|1024x512:74|512x256:58
River Delta.s2m,freebuild,,,,,,,
River Don.s2m,kingmaker,12093,9717256,151,4096,S2Game@20|Simulation@1755|Floaters@1969|Landscape@2005,BiDiPathfinder:1|Bridges:1|BuildingMgr:1|ClanMgr:1|ConnectionLayer:1|Deer:1|ElementMgr:1|Estate:1|Fly:1|Layer:1|RabbitClan:1|RippleEmitter:1,128x128:5342|256x256:3088|512x512:448|32x32:94|320x320:42|64x64:36|468x113:30|70x70:30
Rocky Island.s2m,freebuild,8538,9554853,134,4096,S2Game@20|Simulation@1755|Floaters@1969|Landscape@2005|FX_ENVIRONMENT_@2268569|FX_ENVIRONMENT_@2268601|FX_ENVIRONMENT_@2268633|FX_ENVIRONMENT_@2268665|FX_ENVIRONMENT_@2268697|FX_ENVIRONMENT_@2268729|FX_ENVIRONMENT_@2268761|FX_ENVIRONMENT_@2268793,SplashEmitter:2|Action:1|ActorGroup:1|Animal:1|AutoPlacement:1|Building:1|ClaimLayer:1|DesirabilityLayer:1|Emitter:1|EmitterMgr:1|FX_ENVIRONMENT_BIRDBUSY:1|FlyMgr:1,512x512:52|768x768:48|256x256:38|75x75:31|468x113:30|76x76:30|408x100:29|83x82:21
Shipwrecked.s2m,kingmaker,,,,,,,
Strong and Stable.s2m,kingmaker,22326,9759709,179,4096,S2Game@20|Simulation@1877|Floaters@2091|Landscape@2127|FX_ENVIRONMENT_@2268691|FX_ENVIRONMENT_@2268723|FX_ENVIRONMENT_@2268755|FX_ENVIRONMENT_@2268787|FX_ENVIRONMENT_@2268819|FX_ENVIRONMENT_@2268851|FX_ENVIRONMENT_@2268883|FX_ENVIRONMENT_@2268915,ActorAssets:1|AutoPlacement:1|Bridges:1|BuildingHandler:1|ChannelLayer:1|ContextLayer:1|DangerLayer:1|Deer:1|DeerClan:1|Entity:1|EstateLayer:1|FX_ENVIRONMENT_INSECTS:1,1024x1024:54|768x768:47|512x512:23|512x1024:15|32x32:14|92x93:9|768x1024:8|768x259:7
Swords for the King.s2m,peacecampaign,,,,,,,
The Four Woods.s2m,kingmaker,9142,9899452,152,4096,S2Game@20|Simulation@3896|Floaters@4110|Landscape@4146|FX_ENVIRONMENT_@2102906|FX_ENVIRONMENT_@2102938|FX_ENVIRONMENT_@2102970|FX_ENVIRONMENT_@2103002|FX_ENVIRONMENT_@2103034|FX_ENVIRONMENT_@2103070|FX_ENVIRONMENT_@2103106|FX_ENVIRONMENT_@2103142,FX_ENVIRONMENT_VILLAGELIFE:2|Actor:1|BuildingAssets:1|BuildingHandler:1|BuildingLayer:1|Camera:1|Campaign:1|Crow:1|EnvironmentalSound:1|FX_ENVIRONMENT_BIRDBUSY:1|Fly:1|LogicLayer:1,768x768:46|512x512:17|512x1024:15|51x255:5|76x76:5|43x255:4|46x255:4|63x256:4
Three Bridges.s2m,kingmaker,11859,9668887,147,4096,S2Game@20|Simulation@1755|Floaters@1969|Landscape@2005|FX_ENVIRONMENT_@2268569|FX_ENVIRONMENT_@2268601|FX_ENVIRONMENT_@2268633|FX_ENVIRONMENT_@2268665|FX_ENVIRONMENT_@2268697|FX_ENVIRONMENT_@2268729|FX_ENVIRONMENT_@2268761|FX_ENVIRONMENT_@2268793,BiDiPathfinder:1|BuildingAssets:1|BuildingLayer:1|BuildingMgr:1|ClanMgr:1|Cluster:1|ContextLayer:1|DangerLayer:1|ElementMgr:1|Estate:1|EstateLayer:1|FX_ENVIRONMENT_BIRDBUSY:1,1024x1024:1704|512x512:14|259x257:6|513x257:6|256x256:5|255x255:4|512x257:4|512x514:4
Three Valleys.s2m,freebuild,17632,9915611,122,4096,S2Game@20|Simulation@1750|Floaters@1964|Landscape@2000|FX_ENVIRONMENT_@2100760|FX_ENVIRONMENT_@2100792|FX_ENVIRONMENT_@2100824|FX_ENVIRONMENT_@2100856|FX_ENVIRONMENT_@2100888|FX_ENVIRONMENT_@2100920|FX_ENVIRONMENT_@2100952|FX_ENVIRONMENT_@2100984,FX_ENVIRONMENT_WINDHEAVY:11|FX_ENVIRONMENT_RIVER:6|FX_ENVIRONMENT_WATERFALL:5|FX_ENVIRONMENT_BROOK:4|FX_ENVIRONMENT_BIRDSPARSE:2|Action:1|ActorHandler:1|BuildingAssets:1|BuildingLayer:1|Camera:1|Cluster:1|Deer:1,255x255:65313|768x768:51|512x512:20|256x256:17|512x1024:16|40x40:10|1024x512:8|768x1024:6
To The Sea.s2m,kingmaker,13261,9807786,182,4096,S2Game@20|Simulation@1899|Floaters@2113|Landscape@2149|FX_ENVIRONMENT_@2268713|FX_ENVIRONMENT_@2268747|FX_ENVIRONMENT_@2268781|FX_ENVIRONMENT_@2268815|FX_ENVIRONMENT_@2268849|FX_ENVIRONMENT_@2268881|FX_ENVIRONMENT_@2268913|FX_ENVIRONMENT_@2268945,ActorGroup:1|ActorMgr:1|ConnectionLayer:1|FX_ENVIRONMENT_BIRDBUSY:1|FX_ENVIRONMENT_BIRDSPARSE:1|Layer:1|Pathfinder:1|RippleEmitter:1|Rocks:1|S2BuildingHandler:1|S2Game:1|Shrubs:1,256x256:2493|128x128:1724|32x32:241|512x512:98|320x320:34|64x64:34|468x113:31|408x100:30
Tropical Retreat.s2m,freebuild,,,,,,,
tutorial.s2m,peacecampaign,,,,,,,
Two Pronged Crown.s2m,kingmaker,15379,9870307,163,4096,S2Game@20|Simulation@1899|Floaters@2113|Landscape@2149|FX_ENVIRONMENT_@2268713|FX_ENVIRONMENT_@2268745|FX_ENVIRONMENT_@2268777|FX_ENVIRONMENT_@2268813|FX_ENVIRONMENT_@2268845|FX_ENVIRONMENT_@2268877|FX_ENVIRONMENT_@2268913|FX_ENVIRONMENT_@2268949,FX_ENVIRONMENT_BIRDSPARSE:2|BiDiPathfinder:1|BuildingMgr:1|ClaimLayer:1|Clan:1|ClanMgr:1|Cluster:1|DesirabilityLayer:1|ElementMgr:1|Entity:1|Estate:1|Grass:1,256x256:257|512x512:61|1024x512:56|255x255:50|408x100:30|468x113:30|74x74:30|75x75:30
USA.s2m,kingmaker,12399,9553289,138,4096,S2Game@20|Simulation@1755|Floaters@1969|Landscape@2005|FX_ENVIRONMENT_@2268557|FX_ENVIRONMENT_@2268589|FX_ENVIRONMENT_@2268621|FX_ENVIRONMENT_@2268653|FX_ENVIRONMENT_@2268685|FX_ENVIRONMENT_@2268717|FX_ENVIRONMENT_@2268749|FX_ENVIRONMENT_@2268781,FX_ENVIRONMENT_INSECTS:2|BiDiPathfinder:1|BuildingAssets:1|BuildingMgr:1|Camera:1|ChannelLayer:1|ClanMgr:1|ElementMgr:1|Estate:1|EstateRails:1|FX_ENVIRONMENT_BIRDBUSY:1|Fire:1,255x255:13|256x257:5|514x515:5|256x513:4|513x257:4|256x256:3|258x513:3|258x514:3
Viking Island.s2m,warcampaign,,,,,,,
Volcano.s2m,kingmaker,,,,,,,
war_chapter1.s2m,warcampaign,14127,10397138,268,4096,S2Game@20|Simulation@1822|Floaters@2036|Landscape@2072|FX_ENVIRONMENT_@2100832|FX_ENVIRONMENT_@2100864|FX_ENVIRONMENT_@2100896|FX_ENVIRONMENT_@2100928|FX_ENVIRONMENT_@2100960|FX_ENVIRONMENT_@2100992|FX_ENVIRONMENT_@2101024|FX_ENVIRONMENT_@2101056,FX_ENVIRONMENT_OCEAN:22|FX_ENVIRONMENT_BEACH:6|FX_ENVIRONMENT_BIRDBUSY:2|FX_ENVIRONMENT_WINDHEAVY:2|Actor:1|ActorHandler:1|ActorMgr:1|Archer:1|Armoury:1|AutoPlacement:1|Ballista:1|Barracks:1,255x255:64720|256x256:107|133x134:57|514x256:55|257x256:54|768x1024:43|1000x512:40|137x256:40
war_chapter10.s2m,warcampaign,,,,,,,
war_chapter11.s2m,warcampaign,26665,10402746,196,4096,S2Game@20|Simulation@1822|Floaters@2036|Landscape@2072|FX_ENVIRONMENT_@2100832|FX_ENVIRONMENT_@2100864|FX_ENVIRONMENT_@2100896|FX_ENVIRONMENT_@2100928|FX_ENVIRONMENT_@2100960|FX_ENVIRONMENT_@2100992|FX_ENVIRONMENT_@2101028|FX_ENVIRONMENT_@2101060,FX_ENVIRONMENT_BROOK:5|FX_ENVIRONMENT_RIVER:4|FX_ENVIRONMENT_WINDHEAVY:3|FX_ENVIRONMENT_BIRDBUSY:2|Action:1|ActorHandler:1|AutoPlacement:1|Ballista:1|BiDiPathfinder:1|Building:1|BuildingMgr:1|ClanMgr:1,255x255:63582|256x256:3871|128x128:2608|32x32:377|512x512:326|1024x1024:111|1000x512:57|768x256:54
war_chapter12.s2m,warcampaign,,,,,,,
war_chapter2.s2m,warcampaign,,,,,,,
war_chapter3.s2m,warcampaign,,,,,,,
war_chapter4.s2m,warcampaign,19595,10381615,220,4096,S2Game@20|Simulation@1750|Floaters@1964|Landscape@2000|FX_ENVIRONMENT_@2100760|FX_ENVIRONMENT_@2100792|FX_ENVIRONMENT_@2100826|FX_ENVIRONMENT_@2100861|FX_ENVIRONMENT_@2100893|FX_ENVIRONMENT_@2100925|FX_ENVIRONMENT_@2100957|FX_ENVIRONMENT_@2100989,FX_ENVIRONMENT_INSECTS:2|FX_ENVIRONMENT_WINDHEAVY:2|RippleEmitter:2|Actor:1|ActorHandler:1|Animal:1|Archer:1|BuildingAssets:1|BuildingLayer:1|BurningLogTipper:1|Clan:1|DeerClan:1,255x255:62816|103x104:53|768x1024:51|768x768:49|137x256:43|256x256:39|41x42:22|512x512:19
war_chapter5.s2m,warcampaign,,,,,,,
war_chapter6.s2m,warcampaign,17796,10079618,231,4096,S2Game@20|Simulation@1767|Floaters@1981|Landscape@2017|FX_ENVIRONMENT_@2268581|FX_ENVIRONMENT_@2268613|FX_ENVIRONMENT_@2268645|FX_ENVIRONMENT_@2268677|FX_ENVIRONMENT_@2268713|FX_ENVIRONMENT_@2268745|FX_ENVIRONMENT_@2268777|FX_ENVIRONMENT_@2268809,ActorGroup:1|AppleFarm:1|Bridges:1|BuildingHandler:1|BurningLog:1|ConnectionLayer:1|Crossbowman:1|Entity:1|FX_ENVIRONMENT_BIRDBUSY:1|FletcherWorkshop:1|GongPit:1|Granary:1,256x256:2885|32x32:2771|128x128:2643|512x512:365|768x1024:116|544x544:80|120x121:66|768x768:61
war_chapter7.s2m,warcampaign,,,,,,,
war_chapter8.s2m,warcampaign,17963,10623843,260,4096,S2Game@20|Simulation@1822|Floaters@2036|Landscape@2072|FX_ENVIRONMENT_@2100832|FX_ENVIRONMENT_@2100864|FX_ENVIRONMENT_@2100896|FX_ENVIRONMENT_@2100928|FX_ENVIRONMENT_@2100960|FX_ENVIRONMENT_@2100992|FX_ENVIRONMENT_@2101024|FX_ENVIRONMENT_@2101056,FX_ENVIRONMENT_OCEAN:15|FX_ENVIRONMENT_BROOK:5|FX_ENVIRONMENT_BEACH:4|FX_ENVIRONMENT_RIVER:2|Actor:1|ActorAssets:1|ActorHandler:1|Apothecary:1|Archer:1|ArmourerWorkshop:1|Barracks:1|BiDiPathfinder:1,255x255:64093|2048x2048:21601|32x32:1266|1024x1024:870|256x256:255|768x1024:96|512x512:87|137x256:76
war_chapter9.s2m,warcampaign,14725,10608440,263,4096,S2Game@20|Simulation@1822|Floaters@2036|Landscape@2072|FX_ENVIRONMENT_@2100832|FX_ENVIRONMENT_@2100864|FX_ENVIRONMENT_@2100896|FX_ENVIRONMENT_@2100932|FX_ENVIRONMENT_@2100964|FX_ENVIRONMENT_@2100996|FX_ENVIRONMENT_@2101028|FX_ENVIRONMENT_@2101060,FX_ENVIRONMENT_OCEAN:10|FX_ENVIRONMENT_BEACH:7|FX_ENVIRONMENT_WINDHEAVY:6|FX_ENVIRONMENT_RIVER:3|ActorGroup:1|ActorHandler:1|BiDiPathfinder:1|Bridges:1|BuildingMgr:1|Camera:1|Church:1|ClanMgr:1,255x255:64991|256x256:108|1000x512:102|768x1024:97|146x147:91|137x256:85|41x42:30|1024x1024:27
Whitebear.s2m,kingmaker,12795,9860198,177,4096,S2Game@20|Simulation@1937|Floaters@2151|Landscape@2187|FX_ENVIRONMENT_@2268751|FX_ENVIRONMENT_@2268783|FX_ENVIRONMENT_@2268815|FX_ENVIRONMENT_@2268847|FX_ENVIRONMENT_@2268879|FX_ENVIRONMENT_@2268911|FX_ENVIRONMENT_@2268943|FX_ENVIRONMENT_@2268978,ActorMgr:1|AutoPlacement:1|ConnectionLayer:1|FX_ENVIRONMENT_BIRDBUSY:1|Grass:1|Pathfinder:1|S2BuildingHandler:1|S2Game:1|SessionStats:1|Shrubs:1|TempLayer:1|WorldMgr:1,128x128:3662|256x256:3484|512x512:2342|128x512:104|512x128:94|320x256:48|256x320:46|320x320:46
World_Europe.s2m,kingmaker,16245,9615854,140,4096,S2Game@20|Simulation@1755|Floaters@1969|Landscape@2005,BiDiPathfinder:1|BuildingMgr:1|Camera:1|Clan:1|ClanMgr:1|ConnectionLayer:1|DeerClan:1|ElementMgr:1|Estate:1|EstateRails:1|Fire:1|InvasionMarkers:1,128x128:2025|256x256:1136|64x64:76|32x32:62|512x512:44|408x100:30|468x113:30|63x63:30
World_Korea.s2m,kingmaker,12634,9614285,121,4096,S2Game@20|Simulation@1755|Floaters@1969|Landscape@2005|FX_ENVIRONMENT_@2268569|FX_ENVIRONMENT_@2268601|FX_ENVIRONMENT_@2268633|FX_ENVIRONMENT_@2268665|FX_ENVIRONMENT_@2268697|FX_ENVIRONMENT_@2268729|FX_ENVIRONMENT_@2268761|FX_ENVIRONMENT_@2268793,Action:1|AutoPlacement:1|BiDiPathfinder:1|BuildingAssets:1|BuildingLayer:1|BuildingMgr:1|ClanMgr:1|Cluster:1|ContextLayer:1|Crow:1|DangerLayer:1|ElementMgr:1,2048x2048:39809|1024x1024:86|50x42:57|32x32:36|255x255:4|256x513:4|259x768:4|259x771:4
