FileName,MapType,FileSize,HeaderEnd,SegmentAStart,SegmentACompressedLength,SegmentADecompressedLength,SegmentAClassification,SegmentAStatus,SegmentBStart,SegmentBCompressedLength,SegmentBDecompressedLength,SegmentBClassification,SegmentBStatus,DominantLargeStart,DominantLargeCompressedLength,DominantLargeDecompressedLength,DominantLargeClassification,DominantLargeTopTokens,Error
Rocky Island.s2m,freebuild,346786,146,146,8194,1657,scenario-like,ok,8340,,,,inflate-failed: The archive entry was compressed using an unsupported compression method.,8538,338248,9554853,world-like,AAAA|Cfff|C33s|ABBA|B33s|AAAAAA|FX_ENVIRONMENT_OCEAN|AAAAA|B4uwB|AAAAAAA|CBNhC|CdiiC,
Shipwrecked.s2m,kingmaker,263692,146,146,8194,1655,scenario-like,ok,8340,,,,inflate-failed: The archive entry was compressed using an unsupported compression method.,,,,,,
Strong and Stable.s2m,kingmaker,641126,146,146,8194,1667,scenario-like,ok,8340,,,,inflate-failed: The archive entry was compressed using an unsupported compression method.,22326,618800,9759709,world-like,ABBA|AAAA|ABCCBA|ABBBBA|AAAAAA|AAAAA|C33s|Cfff|AAAAAAAA|ABBBBBBA|ABCDCBA|ABCDEFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFEDCBA,
Swords for the King.s2m,peacecampaign,171475,139,139,8194,3854,scenario-like,ok,8333,,,,inflate-failed: The archive entry was compressed using an unsupported compression method.,,,,,,
The Four Woods.s2m,kingmaker,272392,131,131,8194,1656,scenario-like,ok,8325,,,,inflate-failed: The archive entry was compressed using an unsupported compression method.,9142,263250,9899452,world-like,f0Er3|EUVRE|EXNIE|EY_pE|DPkJC|E_v3E|Efa1E|ElxkE|Ez4OE|E23FE|E2LTE|EEGyE,
Three Bridges.s2m,kingmaker,444383,146,146,8194,1659,scenario-like,ok,8340,,,,inflate-failed: The archive entry was compressed using an unsupported compression method.,11859,432524,9668887,world-like,Cfff|C33s|FX_ENVIRONMENT_RIVER|Bfff|C5fiC|D1SKD|D6FID|D9PaD|A33s|B33s|CQrAC|DUPkD,
Three Valleys.s2m,freebuild,666120,131,131,8194,1653,scenario-like,ok,8325,,,,inflate-failed: The archive entry was compressed using an unsupported compression method.,17632,648488,9915611,world-like,ABBA|AAAA|AAAAA|ABCCBA|AAAAAA|ABCBA|ABBBBA|ABAA|ABBBA|AAAAAAAA|AABA|ABBAA,
To The Sea.s2m,kingmaker,642793,146,146,8194,1653,scenario-like,ok,8340,,,,inflate-failed: The archive entry was compressed using an unsupported compression method.,13261,629532,9807786,world-like,AAAA|ABBA|AAAAAA|AAAAA|PUEjFgE|AABBA|ABBBBA|ABCDDCBA|ABCBA|PUEt|AABA|ABBBA,
Tropical Retreat.s2m,freebuild,224028,131,131,8194,1659,scenario-like,ok,8325,,,,inflate-failed: The archive entry was compressed using an unsupported compression method.,,,,,,
tutorial.s2m,peacecampaign,206041,139,139,8194,1840,scenario-like,ok,8333,,,,inflate-failed: The archive entry was compressed using an unsupported compression method.,,,,,,
Two Pronged Crown.s2m,kingmaker,981455,146,146,8194,1667,scenario-like,ok,8340,,,,inflate-failed: The archive entry was compressed using an unsupported compression method.,15379,966076,9870307,world-like,Cfff|C33s|Bfff|B33s|e1CH|FX_ENVIRONMENT_VILLAGELIFE|FX_ENVIRONMENT_BROOK|FX_ENVIRONMENT_INSECTS|FX_ENVIRONMENT_WINDLIGHT|EumYE|BsczB|CcrJC,
USA.s2m,kingmaker,377343,131,131,8194,1639,scenario-like,ok,8325,,,,inflate-failed: The archive entry was compressed using an unsupported compression method.,12399,364944,9553289,world-like,ABCCBA|ABBA|AAAA|ABCDDCBA|ABCDEFGHIJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJIHGFEDCBA|AABBBAA|FX_ENVIRONMENT_OCEAN|D2aaD|DL_3D|DLpGD|DjHBD|DzzfD,
Viking Island.s2m,warcampaign,164670,135,135,8194,6854,scenario-like,ok,8329,,,,inflate-failed: The archive entry was compressed using an unsupported compression method.,,,,,,
Volcano.s2m,kingmaker,239447,131,131,8194,1641,scenario-like,ok,8325,,,,inflate-failed: The archive entry was compressed using an unsupported compression method.,,,,,,
war_chapter1.s2m,warcampaign,673069,135,135,8194,3914,scenario-like,ok,8329,,,,inflate-failed: The archive entry was compressed using an unsupported compression method.,14127,658942,10397138,world-like,FX_ENVIRONMENT_OCEAN|C33s|B33s|FX_ENVIRONMENT_WINDHEAVY|Cfff|ylDFylDFylDFylDF|aEHw|FX_ENVIRONMENT_WINDLIGHT|E50zE|EmWTE|ExoVE|FX_ENVIRONMENT_BEACH,
war_chapter10.s2m,warcampaign,726072,135,135,8194,3843,scenario-like,ok,8329,,,,inflate-failed: The archive entry was compressed using an unsupported compression method.,,,,,,
war_chapter11.s2m,warcampaign,850802,135,135,8194,7158,scenario-like,ok,8329,,,,inflate-failed: The archive entry was compressed using an unsupported compression method.,26665,770050,10402746,world-like,ABBA|AAAA|AAAAA|AAAAAA|ABCBA|ABBBA|AABBA|ABCCBA|ABBBBA|AAAAAAA|ABCDCBA|ABAA,
war_chapter12.s2m,warcampaign,726072,135,135,8194,5398,scenario-like,ok,8329,,,,inflate-failed: The archive entry was compressed using an unsupported compression method.,,,,,,
war_chapter2.s2m,warcampaign,216938,135,135,8194,12998,scenario-like,ok,8329,,,,inflate-failed: The archive entry was compressed using an unsupported compression method.,,,,,,
war_chapter3.s2m,warcampaign,346340,135,135,8194,3257,scenario-like,ok,8329,,,,inflate-failed: The archive entry was compressed using an unsupported compression method.,,,,,,
war_chapter4.s2m,warcampaign,517473,135,135,8194,17152,scenario-like,ok,8329,,,,inflate-failed: The archive entry was compressed using an unsupported compression method.,19595,491522,10381615,world-like,Cfff|DOmGD|FX_ENVIRONMENT_BROOK|C33s|ZYDC4|BDZ_|EBlvE|EDPkE|EmTxE|Erm0E|AuoNA|CDA9A,
war_chapter5.s2m,warcampaign,726072,135,135,8194,10684,scenario-like,ok,8329,,,,inflate-failed: The archive entry was compressed using an unsupported compression method.,,,,,,
war_chapter6.s2m,warcampaign,726072,150,150,8194,20192,scenario-like,ok,8344,,,,inflate-failed: The archive entry was compressed using an unsupported compression method.,17796,532482,10079618,world-like,Cfff|C33s|B33s|FX_ENVIRONMENT_BROOK|Bfff|D4JZD|DhZxD|ELxGE|EXKyE|FX_ENVIRONMENT_BEACH|FX_ENVIRONMENT_MARSH|FX_ENVIRONMENT_OCEAN,
war_chapter7.s2m,warcampaign,237858,135,135,8194,6134,scenario-like,ok,8329,,,,inflate-failed: The archive entry was compressed using an unsupported compression method.,,,,,,
war_chapter8.s2m,warcampaign,529336,135,135,8194,17191,scenario-like,ok,8329,,,,inflate-failed: The archive entry was compressed using an unsupported compression method.,17963,507906,10623843,world-like,AAAA|ABBA|AAAAAA|Cfff|ABCCBA|AAAAA|ABBBA|ABCBA|C33s|FX_ENVIRONMENT_OCEAN|AAAAAAAA|AAAAAAA,
war_chapter9.s2m,warcampaign,726072,135,135,8194,5169,scenario-like,ok,8329,,,,inflate-failed: The archive entry was compressed using an unsupported compression method.,14725,679938,10608440,world-like,C33s|B33s|Cfff|FX_ENVIRONMENT_OCEAN|FX_ENVIRONMENT_WINDHEAVY|ylDFylDFylDFylDF|aEHw|FX_ENVIRONMENT_BEACH|E50zE|EmWTE|ExoVE|FVe1,
Whitebear.s2m,kingmaker,814279,146,146,8194,1651,scenario-like,ok,8340,,,,inflate-failed: The archive entry was compressed using an unsupported compression method.,12795,696322,9860198,world-like,C33s|Cfff|Bfff|B33s|FX_ENVIRONMENT_INSECTS|Cr5oC|FX_ENVIRONMENT_WINDLIGHT|CeKAC|CCmtC|CN4FC|CTPQC|Cu0hC,
World_Europe.s2m,kingmaker,368587,146,146,8194,1657,scenario-like,ok,8340,,,,inflate-failed: The archive entry was compressed using an unsupported compression method.,16245,352342,9615854,world-like,AAAA|ABBA|ABCCBA|AAAAA|AABA|AABBA|AAAAAA|ABBBA|ABAAA|ABBBBA|ABCBA|ABCDCBA,
World_Korea.s2m,kingmaker,352194,146,146,8194,1655,scenario-like,ok,8340,,,,inflate-failed: The archive entry was compressed using an unsupported compression method.,12634,339560,9614285,world-like,BLDEzCD|DC15D|Dj3LD|DyI8D|E4j0E|EbPkE|EbwfE|EcT8E|Ela2E|EmJfE|EpYiE|Ey8FE,
