FileName,MapType,DominantLargeStart,HeightLayerOffset,DimensionPairs,CandidateRank,Width,Height,PairOffset,DataStart,Format,BytesPerValue,MeanNeighborDiff,UniqueSampleValues,ContinuityScore
Kill Barclay.s2m,warcampaign,13742,6300856,1024x256@6301032,5,1024,256,6301032,6301056,u8,1,0.000000,1,14.0007
Kill Barclay.s2m,warcampaign,13742,6300856,1024x256@6301032,6,1024,256,6301032,6301060,u8,1,0.000000,1,14.0007
Kill Barclay.s2m,warcampaign,13742,6300856,1024x256@6301032,7,1024,256,6301032,6301064,u8,1,0.000000,1,14.0007
Kill Barclay.s2m,warcampaign,13742,6300856,1024x256@6301032,8,1024,256,6301032,6301068,u8,1,0.000000,1,14.0007
Lookout Mountain.s2m,freebuild,17821,5490095,1024x256@5490159,1,1024,256,5490159,5490167,u8,1,57.683686,256,37.7543
Lookout Mountain.s2m,freebuild,17821,5490095,1024x256@5490159,2,1024,256,5490159,5490171,u8,1,58.593658,256,37.4810
Lookout Mountain.s2m,freebuild,17821,5490095,1024x256@5490159,3,1024,256,5490159,5490175,u8,1,58.772515,256,37.4278
Lookout Mountain.s2m,freebuild,17821,5490095,1024x256@5490159,4,1024,256,5490159,5490179,u8,1,58.913417,256,37.3859
Lookout Mountain.s2m,freebuild,17821,5490095,1024x256@5490159,5,1024,256,5490159,5490183,u8,1,59.055733,256,37.3438
Lookout Mountain.s2m,freebuild,17821,5490095,1024x256@5490159,6,1024,256,5490159,5490187,u8,1,59.283526,256,37.2765
Lookout Mountain.s2m,freebuild,17821,5490095,1024x256@5490159,7,1024,256,5490159,5490191,u8,1,59.518270,256,37.2074
Lookout Mountain.s2m,freebuild,17821,5490095,1024x256@5490159,8,1024,256,5490159,5490195,u8,1,59.520669,256,37.2067
Mountain Hideaway.s2m,freebuild,19428,5481130,1024x256@5481178,1,1024,256,5481178,5481186,u8,1,60.340028,256,36.9677
Mountain Hideaway.s2m,freebuild,19428,5481130,1024x256@5481178,2,1024,256,5481178,5481190,u8,1,61.681471,256,36.5832
Mountain Hideaway.s2m,freebuild,19428,5481130,1024x256@5481178,3,1024,256,5481178,5481194,u8,1,62.184978,256,36.4409
Mountain Hideaway.s2m,freebuild,19428,5481130,1024x256@5481178,4,1024,256,5481178,5481198,u8,1,62.769808,256,36.2771
Mountain Hideaway.s2m,freebuild,19428,5481130,1024x256@5481178,5,1024,256,5481178,5481202,u8,1,63.432794,256,36.0933
Mountain Hideaway.s2m,freebuild,19428,5481130,1024x256@5481178,6,1024,256,5481178,5481206,u8,1,63.762149,256,36.0027
Mountain Hideaway.s2m,freebuild,19428,5481130,1024x256@5481178,7,1024,256,5481178,5481218,u8,1,63.822589,256,35.9861
Mountain Hideaway.s2m,freebuild,19428,5481130,1024x256@5481178,8,1024,256,5481178,5481210,u8,1,63.994064,256,35.9391
peace_chapter1.s2m,peacecampaign,23730,5908234,1024x256@5908346,1,1024,256,5908346,5908370,u8,1,50.424182,246,40.0534
peace_chapter1.s2m,peacecampaign,23730,5908234,1024x256@5908346,2,1024,256,5908346,5908366,u8,1,50.371125,238,40.0423
peace_chapter1.s2m,peacecampaign,23730,5908234,1024x256@5908346,3,1024,256,5908346,5908374,u8,1,50.498093,248,40.0355
peace_chapter1.s2m,peacecampaign,23730,5908234,1024x256@5908346,4,1024,256,5908346,5908378,u8,1,50.553703,251,40.0275
peace_chapter1.s2m,peacecampaign,23730,5908234,1024x256@5908346,5,1024,256,5908346,5908382,u8,1,50.593812,254,40.0248
peace_chapter1.s2m,peacecampaign,23730,5908234,1024x256@5908346,6,1024,256,5908346,5908362,u8,1,50.363620,231,40.0192
peace_chapter1.s2m,peacecampaign,23730,5908234,1024x256@5908346,7,1024,256,5908346,5908386,u8,1,50.666646,254,40.0000
peace_chapter1.s2m,peacecampaign,23730,5908234,1024x256@5908346,8,1024,256,5908346,5908358,u8,1,50.490342,227,39.9612
River Don.s2m,kingmaker,12093,5462506,1024x256@5462618,1,1024,256,5462618,5462626,u8,1,15.661725,256,57.1753
River Don.s2m,kingmaker,12093,5462506,1024x256@5462618,2,1024,256,5462618,5462630,u8,1,16.071297,256,56.8876
River Don.s2m,kingmaker,12093,5462506,1024x256@5462618,3,1024,256,5462618,5462634,u8,1,16.242526,256,56.7682
River Don.s2m,kingmaker,12093,5462506,1024x256@5462618,4,1024,256,5462618,5462638,u8,1,16.376630,256,56.6751
River Don.s2m,kingmaker,12093,5462506,1024x256@5462618,5,1024,256,5462618,5462642,u8,1,16.455370,256,56.6205
River Don.s2m,kingmaker,12093,5462506,1024x256@5462618,6,1024,256,5462618,5462646,u8,1,16.618941,256,56.5076
River Don.s2m,kingmaker,12093,5462506,1024x256@5462618,7,1024,256,5462618,5462650,u8,1,16.714106,256,56.4420
River Don.s2m,kingmaker,12093,5462506,1024x256@5462618,8,1024,256,5462618,5462654,u8,1,16.882505,256,56.3265
Rocky Island.s2m,freebuild,8538,5290916,1024x256@5290964,1,1024,256,5290964,5291000,u8,1,49.332339,78,39.8154
Rocky Island.s2m,freebuild,8538,5290916,1024x256@5290964,2,1024,256,5290964,5290996,u8,1,49.368971,81,39.8136
Rocky Island.s2m,freebuild,8538,5290916,1024x256@5290964,3,1024,256,5290964,5290992,u8,1,49.397792,83,39.8109
Rocky Island.s2m,freebuild,8538,5290916,1024x256@5290964,4,1024,256,5290964,5291004,u8,1,49.338183,77,39.8097
Rocky Island.s2m,freebuild,8538,5290916,1024x256@5290964,5,1024,256,5290964,5290972,u8,1,49.402375,83,39.8093
Rocky Island.s2m,freebuild,8538,5290916,1024x256@5290964,6,1024,256,5290964,5290988,u8,1,49.408311,83,39.8072
Rocky Island.s2m,freebuild,8538,5290916,1024x256@5290964,7,1024,256,5290964,5290976,u8,1,49.413171,83,39.8055
Rocky Island.s2m,freebuild,8538,5290916,1024x256@5290964,8,1024,256,5290964,5290980,u8,1,49.413171,83,39.8055
Strong and Stable.s2m,kingmaker,22326,5512167,1024x256@5512311,1,1024,256,5512311,5512319,u8,1,29.415785,256,48.8951
Strong and Stable.s2m,kingmaker,22326,5512167,1024x256@5512311,2,1024,256,5512311,5512323,u8,1,30.143762,256,48.5243
Strong and Stable.s2m,kingmaker,22326,5512167,1024x256@5512311,3,1024,256,5512311,5512327,u8,1,30.249539,256,48.4709
Strong and Stable.s2m,kingmaker,22326,5512167,1024x256@5512311,4,1024,256,5512311,5512331,u8,1,30.378076,256,48.4062
Strong and Stable.s2m,kingmaker,22326,5512167,1024x256@5512311,5,1024,256,5512311,5512335,u8,1,30.553672,256,48.3180
Strong and Stable.s2m,kingmaker,22326,5512167,1024x256@5512311,6,1024,256,5512311,5512339,u8,1,30.699895,256,48.2448
Strong and Stable.s2m,kingmaker,22326,5512167,1024x256@5512311,7,1024,256,5512311,5512343,u8,1,30.940453,256,48.1250
Strong and Stable.s2m,kingmaker,22326,5512167,1024x256@5512311,8,1024,256,5512311,5512347,u8,1,31.107683,256,48.0420
The Four Woods.s2m,kingmaker,9142,5668797,1024x256@5668845,1,1024,256,5668845,5668885,u8,1,9.439592,255,61.9364
The Four Woods.s2m,kingmaker,9142,5668797,1024x256@5668845,2,1024,256,5668845,5668881,u8,1,9.958754,256,61.5118
The Four Woods.s2m,kingmaker,9142,5668797,1024x256@5668845,3,1024,256,5668845,5668877,u8,1,10.604884,256,60.9872
The Four Woods.s2m,kingmaker,9142,5668797,1024x256@5668845,4,1024,256,5668845,5668873,u8,1,11.388441,256,60.3631
The Four Woods.s2m,kingmaker,9142,5668797,1024x256@5668845,5,1024,256,5668845,5668869,u8,1,12.277651,256,59.6703
The Four Woods.s2m,kingmaker,9142,5668797,1024x256@5668845,6,1024,256,5668845,5668865,u8,1,13.134966,256,59.0175
The Four Woods.s2m,kingmaker,9142,5668797,1024x256@5668845,7,1024,256,5668845,5668861,u8,1,13.984252,256,58.3850
The Four Woods.s2m,kingmaker,9142,5668797,1024x256@5668845,8,1024,256,5668845,5668857,u8,1,14.812777,256,57.7811
Three Bridges.s2m,kingmaker,11859,5435959,1024x256@5436343,1,1024,256,5436343,5436351,u8,1,54.838706,256,38.6357
Three Bridges.s2m,kingmaker,11859,5435959,1024x256@5436343,2,1024,256,5436343,5436383,u8,1,55.242495,256,38.5080
Three Bridges.s2m,kingmaker,11859,5435959,1024x256@5436343,3,1024,256,5436343,5436379,u8,1,55.407819,256,38.4560
Three Bridges.s2m,kingmaker,11859,5435959,1024x256@5436343,4,1024,256,5436343,5436375,u8,1,55.584615,256,38.4005
Three Bridges.s2m,kingmaker,11859,5435959,1024x256@5436343,5,1024,256,5436343,5436371,u8,1,55.763011,256,38.3447
Three Bridges.s2m,kingmaker,11859,5435959,1024x256@5436343,6,1024,256,5436343,5436367,u8,1,55.824742,256,38.3254
Three Bridges.s2m,kingmaker,11859,5435959,1024x256@5436343,7,1024,256,5436343,5436363,u8,1,55.943221,256,38.2885
Three Bridges.s2m,kingmaker,11859,5435959,1024x256@5436343,8,1024,256,5436343,5436359,u8,1,56.027498,256,38.2623
Three Valleys.s2m,freebuild,17632,5687245,1024x256@5687293,1,1024,256,5687293,5687301,u8,1,40.975455,256,43.6141
Three Valleys.s2m,freebuild,17632,5687245,1024x256@5687293,2,1024,256,5687293,5687305,u8,1,42.053519,256,43.1803
Three Valleys.s2m,freebuild,17632,5687245,1024x256@5687293,3,1024,256,5687293,5687309,u8,1,42.284633,256,43.0885
Three Valleys.s2m,freebuild,17632,5687245,1024x256@5687293,4,1024,256,5687293,5687313,u8,1,42.433501,256,43.0295
Three Valleys.s2m,freebuild,17632,5687245,1024x256@5687293,5,1024,256,5687293,5687317,u8,1,42.496647,256,43.0046
Three Valleys.s2m,freebuild,17632,5687245,1024x256@5687293,6,1024,256,5687293,5687321,u8,1,42.706970,256,42.9216
Three Valleys.s2m,freebuild,17632,5687245,1024x256@5687293,7,1024,256,5687293,5687325,u8,1,42.867526,256,42.8586
Three Valleys.s2m,freebuild,17632,5687245,1024x256@5687293,8,1024,256,5687293,5687329,u8,1,43.019285,256,42.7991
To The Sea.s2m,kingmaker,13261,5568186,1024x256@5568410,1,1024,256,5568410,5568450,u8,1,57.535002,256,37.7993
To The Sea.s2m,kingmaker,13261,5568186,1024x256@5568410,2,1024,256,5568410,5568446,u8,1,57.577202,256,37.7865
To The Sea.s2m,kingmaker,13261,5568186,1024x256@5568410,3,1024,256,5568410,5568442,u8,1,57.765102,256,37.7297
To The Sea.s2m,kingmaker,13261,5568186,1024x256@5568410,4,1024,256,5568410,5568438,u8,1,58.061300,256,37.6404
To The Sea.s2m,kingmaker,13261,5568186,1024x256@5568410,5,1024,256,5568410,5568434,u8,1,58.421352,256,37.5324
To The Sea.s2m,kingmaker,13261,5568186,1024x256@5568410,6,1024,256,5568410,5568418,u8,1,58.701495,256,37.4489
To The Sea.s2m,kingmaker,13261,5568186,1024x256@5568410,7,1024,256,5568410,5568430,u8,1,58.777067,256,37.4264
To The Sea.s2m,kingmaker,13261,5568186,1024x256@5568410,8,1024,256,5568410,5568426,u8,1,59.113004,256,37.3268
Two Pronged Crown.s2m,kingmaker,15379,5612612,1024x256@5612692,1,1024,256,5612692,5612700,u8,1,24.145331,256,51.7627
Two Pronged Crown.s2m,kingmaker,15379,5612612,1024x256@5612692,2,1024,256,5612692,5612704,u8,1,25.576218,256,50.9508
Two Pronged Crown.s2m,kingmaker,15379,5612612,1024x256@5612692,3,1024,256,5612692,5612708,u8,1,26.886688,256,50.2296
Two Pronged Crown.s2m,kingmaker,15379,5612612,1024x256@5612692,4,1024,256,5612692,5612712,u8,1,28.234621,256,49.5093
Two Pronged Crown.s2m,kingmaker,15379,5612612,1024x256@5612692,5,1024,256,5612692,5612716,u8,1,29.592643,256,48.8045
Two Pronged Crown.s2m,kingmaker,15379,5612612,1024x256@5612692,6,1024,256,5612692,5612720,u8,1,30.850763,256,48.1696
Two Pronged Crown.s2m,kingmaker,15379,5612612,1024x256@5612692,7,1024,256,5612692,5612724,u8,1,31.954140,256,47.6265
Two Pronged Crown.s2m,kingmaker,15379,5612612,1024x256@5612692,8,1024,256,5612692,5612728,u8,1,32.775098,256,47.2304
USA.s2m,kingmaker,12399,5326665,1024x256@5327049,1,1024,256,5327049,5327089,u8,1,49.210046,5,17.8158
USA.s2m,kingmaker,12399,5326665,1024x256@5327049,2,1024,256,5327049,5327085,u8,1,49.281650,5,17.8046
USA.s2m,kingmaker,12399,5326665,1024x256@5327049,3,1024,256,5327049,5327081,u8,1,49.341197,5,17.7952
USA.s2m,kingmaker,12399,5326665,1024x256@5327049,4,1024,256,5327049,5327077,u8,1,49.388687,5,17.7878
USA.s2m,kingmaker,12399,5326665,1024x256@5327049,5,1024,256,5327049,5327073,u8,1,49.436116,5,17.7804
USA.s2m,kingmaker,12399,5326665,1024x256@5327049,6,1024,256,5327049,5327057,u8,1,49.468535,5,17.7753
USA.s2m,kingmaker,12399,5326665,1024x256@5327049,7,1024,256,5327049,5327069,u8,1,49.471549,5,17.7748
USA.s2m,kingmaker,12399,5326665,1024x256@5327049,8,1024,256,5327049,5327061,u8,1,49.482191,5,17.7731
war_chapter1.s2m,warcampaign,14127,5651748,1024x256@5651796,1,1024,256,5651796,5651804,u8,1,51.806010,255,39.6192
war_chapter1.s2m,warcampaign,14127,5651748,1024x256@5651796,2,1024,256,5651796,5651808,u8,1,52.169353,256,39.5019
war_chapter1.s2m,warcampaign,14127,5651748,1024x256@5651796,3,1024,256,5651796,5651812,u8,1,52.428303,256,39.4161
war_chapter1.s2m,warcampaign,14127,5651748,1024x256@5651796,4,1024,256,5651796,5651816,u8,1,52.628999,256,39.3499
war_chapter1.s2m,warcampaign,14127,5651748,1024x256@5651796,5,1024,256,5651796,5651820,u8,1,52.840890,256,39.2802
war_chapter1.s2m,warcampaign,14127,5651748,1024x256@5651796,6,1024,256,5651796,5651824,u8,1,53.065422,256,39.2067
war_chapter1.s2m,warcampaign,14127,5651748,1024x256@5651796,7,1024,256,5651796,5651828,u8,1,53.323204,256,39.1226
war_chapter1.s2m,warcampaign,14127,5651748,1024x256@5651796,8,1024,256,5651796,5651832,u8,1,53.467028,256,39.0759
war_chapter11.s2m,warcampaign,26665,6140750,1024x256@6140846,1,1024,256,6140846,6140886,u8,1,38.826249,256,44.5061
war_chapter11.s2m,warcampaign,26665,6140750,1024x256@6140846,2,1024,256,6140846,6140882,u8,1,39.681379,256,44.1468
war_chapter11.s2m,warcampaign,26665,6140750,1024x256@6140846,3,1024,256,6140846,6140878,u8,1,40.500615,256,43.8081
war_chapter11.s2m,warcampaign,26665,6140750,1024x256@6140846,4,1024,256,6140846,6140874,u8,1,41.402036,256,43.4414
war_chapter11.s2m,warcampaign,26665,6140750,1024x256@6140846,5,1024,256,6140846,6140870,u8,1,42.278759,256,43.0908
war_chapter11.s2m,warcampaign,26665,6140750,1024x256@6140846,6,1024,256,6140846,6140866,u8,1,42.911448,256,42.8413
war_chapter11.s2m,warcampaign,26665,6140750,1024x256@6140846,7,1024,256,6140846,6140854,u8,1,43.373708,256,42.6609
war_chapter11.s2m,warcampaign,26665,6140750,1024x256@6140846,8,1024,256,6140846,6140862,u8,1,43.382228,256,42.6576
war_chapter4.s2m,warcampaign,19595,6017209,1024x256@6017305,1,1024,256,6017305,6017345,u8,1,31.693928,256,47.7534
war_chapter4.s2m,warcampaign,19595,6017209,1024x256@6017305,2,1024,256,6017305,6017341,u8,1,32.138872,256,47.5368
war_chapter4.s2m,warcampaign,19595,6017209,1024x256@6017305,3,1024,256,6017305,6017337,u8,1,32.659572,256,47.2857
war_chapter4.s2m,warcampaign,19595,6017209,1024x256@6017305,4,1024,256,6017305,6017333,u8,1,33.054657,256,47.0971
war_chapter4.s2m,warcampaign,19595,6017209,1024x256@6017305,5,1024,256,6017305,6017329,u8,1,33.408864,256,46.9292
war_chapter4.s2m,warcampaign,19595,6017209,1024x256@6017305,6,1024,256,6017305,6017325,u8,1,33.708508,256,46.7882
war_chapter4.s2m,warcampaign,19595,6017209,1024x256@6017305,7,1024,256,6017305,6017313,u8,1,33.768916,256,46.7598
war_chapter4.s2m,warcampaign,19595,6017209,1024x256@6017305,8,1024,256,6017305,6017321,u8,1,34.129860,256,46.5913
war_chapter6.s2m,warcampaign,17796,5727906,1024x256@5727954,1,1024,256,5727954,5727994,u8,1,7.738250,245,63.3465
war_chapter6.s2m,warcampaign,17796,5727906,1024x256@5727954,2,1024,256,5727954,5727990,u8,1,7.759074,248,63.3393
war_chapter6.s2m,warcampaign,17796,5727906,1024x256@5727954,3,1024,256,5727954,5727986,u8,1,7.776975,248,63.3238
war_chapter6.s2m,warcampaign,17796,5727906,1024x256@5727954,4,1024,256,5727954,5727982,u8,1,7.860452,251,63.2622
war_chapter6.s2m,warcampaign,17796,5727906,1024x256@5727954,5,1024,256,5727954,5727974,u8,1,7.978162,251,63.1603
war_chapter6.s2m,warcampaign,17796,5727906,1024x256@5727954,6,1024,256,5727954,5727962,u8,1,7.977393,249,63.1536
war_chapter6.s2m,warcampaign,17796,5727906,1024x256@5727954,7,1024,256,5727954,5727978,u8,1,7.989788,250,63.1466
war_chapter6.s2m,warcampaign,17796,5727906,1024x256@5727954,8,1024,256,5727954,5727970,u8,1,8.073819,250,63.0740
war_chapter8.s2m,warcampaign,17963,6101515,1024x256@6101659,1,1024,256,6101659,6101667,u8,1,50.908157,200,39.7201
war_chapter8.s2m,warcampaign,17963,6101515,1024x256@6101659,2,1024,256,6101659,6101671,u8,1,51.146100,207,39.6651
war_chapter8.s2m,warcampaign,17963,6101515,1024x256@6101659,3,1024,256,6101659,6101675,u8,1,51.272730,213,39.6444
war_chapter8.s2m,warcampaign,17963,6101515,1024x256@6101659,4,1024,256,6101659,6101679,u8,1,51.379798,220,39.6340
war_chapter8.s2m,warcampaign,17963,6101515,1024x256@6101659,5,1024,256,6101659,6101683,u8,1,51.511534,229,39.6226
war_chapter8.s2m,warcampaign,17963,6101515,1024x256@6101659,6,1024,256,6101659,6101687,u8,1,51.593104,235,39.6172
war_chapter8.s2m,warcampaign,17963,6101515,1024x256@6101659,7,1024,256,6101659,6101691,u8,1,51.695251,236,39.5867
war_chapter8.s2m,warcampaign,17963,6101515,1024x256@6101659,8,1024,256,6101659,6101695,u8,1,51.800381,239,39.5625
war_chapter9.s2m,warcampaign,14725,5852212,1024x256@5852260,1,1024,256,5852260,5852268,u8,1,51.701280,254,39.6506
war_chapter9.s2m,warcampaign,14725,5852212,1024x256@5852260,2,1024,256,5852260,5852272,u8,1,52.062346,256,39.5374
war_chapter9.s2m,warcampaign,14725,5852212,1024x256@5852260,3,1024,256,5852260,5852276,u8,1,52.334830,256,39.4470
war_chapter9.s2m,warcampaign,14725,5852212,1024x256@5852260,4,1024,256,5852260,5852280,u8,1,52.557210,256,39.3736
war_chapter9.s2m,warcampaign,14725,5852212,1024x256@5852260,5,1024,256,5852260,5852284,u8,1,52.767532,256,39.3043
war_chapter9.s2m,warcampaign,14725,5852212,1024x256@5852260,6,1024,256,5852260,5852288,u8,1,52.961245,256,39.2408
