FileName,MapType,DominantLargeStart,RegionIndex,Start,EndExclusive,Length,Label,Confidence,AnchorTokens,TopTokens,DimensionPairs
Australia.s2m,kingmaker,10489,12,5984256,6557696,573440,mixed-unknown,47,,lSh9|A4i7B|DLlVD|Da0tD|DlIyD|DljTD|DoxjD|ELt_E,
Australia.s2m,kingmaker,10489,13,6557696,8744960,2187264,mixed-unknown,41,,Dvv7D|D7IuD|EMLPE|Eex0E|Bvv7D|Cvv7D|DMLPEw|Dex0E,
Australia.s2m,kingmaker,10489,14,8744960,9011200,266240,grid-or-terrain,77,,LinkageLayerD|LogicLayerD,128x128:1541|256x256:400|384x384:23|32x32:20|384x128:16|128x384:13
Australia.s2m,kingmaker,10489,15,9011200,9535488,524288,mixed-unknown,35,,ProximityLayerD,
Australia.s2m,kingmaker,10489,16,9535488,9624958,89470,entities-and-systems,79,,AHvH3|Action|ActorAssetsS|BH4c|BuildingAssetsR|Cluster|DeerClanU|Emitter,84x85:3|94x94:3
Baltic.s2m,kingmaker,12633,0,0,266240,266240,core-simulation,93,S2Game|Simulation|Floaters|Landscape,BYcxC|Cc9tD|CnubC|D1OkD|DLlFDL|DLofDv|DRK6C|DmsID,256x256:3
Baltic.s2m,kingmaker,12633,1,266240,786432,520192,binary-opaque,35,,,
Baltic.s2m,kingmaker,12633,2,786432,1187840,401408,grid-or-terrain,76,,,256x256:5|259x771:4|256x257:3|256x258:3|256x513:3|258x259:3
Baltic.s2m,kingmaker,12633,3,1187840,1515520,327680,binary-opaque,36,,,1024x512:4
Baltic.s2m,kingmaker,12633,4,1515520,1843200,327680,binary-opaque,35,,,
Baltic.s2m,kingmaker,12633,5,1843200,2105344,262144,binary-opaque,35,,,
Baltic.s2m,kingmaker,12633,6,2105344,2268557,163213,entities-and-systems,68,,ActorHandler|Campaign|EnvironmentalSound|FlyHandler|S2ActorHandler|S2FlyHandler|WorldMgr,
Baltic.s2m,kingmaker,12633,7,2268557,4300800,2032243,environment-fx,82,FX_ENVIRONMENT_,FX_ENVIRONMENT_BIRDBUSY|FX_ENVIRONMENT_OCEAN|FX_ENVIRONMENT_WINDLIGHT|FX_ENVIRONMENT_BROOK|FX_ENVIRONMENT_WINDHEAVY|FX_ENVIRONMENT_BEACH|FX_ENVIRONMENT_RIVER|ActorMgr,
Baltic.s2m,kingmaker,12633,8,4300800,4567040,266240,grid-or-terrain,82,,BiDiPathfinder|Camera|ClanMgr|EmitterMgr|Estate|EstateRails|Fire|Fl_ZA,255x255:12
Baltic.s2m,kingmaker,12633,9,4567040,4845568,278528,mixed-unknown,47,,AAAA|ABBA|ABCDDCBA|AAAAA|AABA|AABBA|ABCDEFFEDCBA|AAAAAA,
Baltic.s2m,kingmaker,12633,10,4845568,5197824,352256,binary-opaque,35,,,
Baltic.s2m,kingmaker,12633,11,5197824,5492736,294912,entities-and-systems,67,,DangerLayer|DesirabilityLayer|EstateLayer|HeightLayer,
Baltic.s2m,kingmaker,12633,12,5492736,6033408,540672,mixed-unknown,47,,V6CJIUB|CLlFD2|CYcxC|CnubCc|Co4CD|CqEH8|D1OkD|D9EWE,
Baltic.s2m,kingmaker,12633,13,6033408,6303744,270336,mixed-unknown,47,,CYcxC|CnubC|Dc9tD|EQFcE|Esg9Ew|BJIUB|BYcxC|BcES,
Baltic.s2m,kingmaker,12633,14,6303744,6705152,401408,mixed-unknown,47,,Ek0CE|D1OkD|DNriD|EQEJE|EdR2E|Co4CD|CqEH8|D9EWE,
Baltic.s2m,kingmaker,12633,15,6705152,8806400,2101248,binary-opaque,35,,,
Baltic.s2m,kingmaker,12633,16,8806400,9076736,270336,grid-or-terrain,77,,LinkageLayer|LogicLayer,256x256:2650|128x128:2388|32x32:651|384x384:101|256x384:98|384x128:89
Baltic.s2m,kingmaker,12633,17,9076736,9601024,524288,grid-or-terrain,71,,ProximityLayer,256x256:5
Baltic.s2m,kingmaker,12633,18,9601024,9681775,80751,entities-and-systems,74,,ActorAssets|BuildingAssets9|Emitter|MG2C|NDtZ|NG4C|OGgv|SearchLayer,
Coastal County.s2m,freebuild,14689,0,0,266240,266240,mixed-unknown,47,S2Game|Simulation|Floaters|Landscape,C77FC|CFA0C|CcaHC|CkG1C|CG2yC|CMjHC|CgSIC|CnfyC,
Coastal County.s2m,freebuild,14689,1,266240,786432,520192,binary-opaque,35,,,
Coastal County.s2m,freebuild,14689,2,786432,1187840,401408,binary-opaque,41,,,513x257:6|514x515:5|512x257:4|512x769:4|513x770:4|771x771:4
Coastal County.s2m,freebuild,14689,3,1187840,1536000,348160,binary-opaque,35,,,
Coastal County.s2m,freebuild,14689,4,1536000,1843200,307200,binary-opaque,35,,,
Coastal County.s2m,freebuild,14689,5,1843200,2105344,262144,binary-opaque,35,,,
Coastal County.s2m,freebuild,14689,6,2105344,2268581,163237,entities-and-systems,68,,ActorHandler|Campaign|EnvironmentalSound|FlyHandler|S2ActorHandler|S2FlyHandler|WorldMgr,
Coastal County.s2m,freebuild,14689,7,2268581,4300800,2032219,environment-fx,84,FX_ENVIRONMENT_,FX_ENVIRONMENT_INSECTS|FX_ENVIRONMENT_BEACH|FX_ENVIRONMENT_BROOK|FX_ENVIRONMENT_WINDLIGHT|FX_ENVIRONMENT_BIRDSPARSE|FX_ENVIRONMENT_VILLAGELIFE|FX_ENVIRONMENT_WATERFALL|FX_ENVIRONMENT_OCEAN,
Coastal County.s2m,freebuild,14689,8,4300800,4562944,262144,grid-or-terrain,85,,AHiE|BiDiPathfinder|Camera|ClanMgr|D3HTm|EmitterMgr|Estate|Forest,768x768:49|512x1024:16|512x512:15
Coastal County.s2m,freebuild,14689,9,4562944,4874240,311296,grid-or-terrain,88,,Cfff|C33s|B33s|Bfff|A33s|Afff|CC33s|JCfff,63x256:10|768x1024:8|255x255:4|59x38:4|50x43:3|512x512:3
Coastal County.s2m,freebuild,14689,10,4874240,5357568,483328,mixed-unknown,38,,ChannelLayerC|ClaimLayerC|ConnectionLayerC|ContextLayerC,128x257:4
Coastal County.s2m,freebuild,14689,11,5357568,5636096,278528,mixed-unknown,47,,ENBYE|PUENBYE|mEQAnE|BESUaE|B_EJ|CG2yC|DangerLayerC|DesirabilityLayerC,
Coastal County.s2m,freebuild,14689,12,5636096,6316032,679936,mixed-unknown,47,,CkG1C|CFA0C|ENBYE|CtpkC|PUENBYE|CAn2C|CG2yC|CcaHC,
Coastal County.s2m,freebuild,14689,13,6316032,6713344,397312,mixed-unknown,47,,CcaHC|C77FC|CgSIC|o7Cm|CCSvB|CnfyC|WHCkw|caHC,
Coastal County.s2m,freebuild,14689,14,6713344,8962048,2248704,mixed-unknown,47,,CQ3HC|CpJeC|DhanD|BpJeC|C_S2C|DUUcC|DXqdD|DfzUD,
Coastal County.s2m,freebuild,14689,15,8962048,9228288,266240,grid-or-terrain,77,,LinkageLayerC|LogicLayerC,128x128:3326|256x256:2651|512x512:1395|32x32:124|768x768:123|256x768:89
Coastal County.s2m,freebuild,14689,16,9228288,9752576,524288,mixed-unknown,35,,ProximityLayerC,
Coastal County.s2m,freebuild,14689,17,9752576,9807959,55383,entities-and-systems,80,,Action|ActorAssetsS|BuildingAssetsR|Clusterd|CrowClanU|DeerClanU|Emitter|OutlawCampAggressiveClanU,255x256:5|97x95:4|87x85:3
Egypt.s2m,kingmaker,17173,0,0,266240,266240,mixed-unknown,47,S2Game|Simulation|Floaters|Landscape,PUE8G|PUE_|CAEDCD|Eb3sE|PUEhOUE|PUEjI|ZEkKaE|bERbdE,
Egypt.s2m,kingmaker,17173,1,266240,786432,520192,binary-opaque,35,,,
Egypt.s2m,kingmaker,17173,2,786432,1187840,401408,binary-opaque,41,,,513x257:6|513x770:5|514x515:5|256x257:4|512x769:4|771x771:4
Egypt.s2m,kingmaker,17173,3,1187840,1454080,266240,binary-opaque,35,,,
Egypt.s2m,kingmaker,17173,4,1454080,1843200,389120,binary-opaque,35,,,
Egypt.s2m,kingmaker,17173,5,1843200,2105344,262144,binary-opaque,35,,,
Egypt.s2m,kingmaker,17173,6,2105344,4300800,2195456,entities-and-systems,72,,ActorHandler|ActorMgr|BiDiPath|BuildingHandler|BuildingMgr|Campaign|ElementMgr|EnvironmentalSound,
Egypt.s2m,kingmaker,17173,7,4300800,4653056,352256,grid-or-terrain,84,,C33s|Bfff|B33s|GwATE|Hoc4D|Actor|ActorGroup|Afff,255x255:5|768x1024:3
Egypt.s2m,kingmaker,17173,8,4653056,5132288,479232,mixed-unknown,47,,ABBA|AAAA|ABCCBA|ABCDEFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFEDCBA|AAAAAA|ABCDDCBA|ABCDEFFFFFFFFFFEDCBA|ABCDEFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFEDCBA,
Egypt.s2m,kingmaker,17173,9,5132288,5414912,282624,mixed-unknown,47,,PUEE3|ZEkKaE|cEkKaE|ADhAmD|AMTIA|Agz2B|Bfu2C|BjHqC,
Egypt.s2m,kingmaker,17173,10,5414912,6328320,913408,mixed-unknown,46,,fE15dE|PUEE3|PUE_|E15dE|PUEr|ZEkKaE|cEUeaE|cEkKaE,
Egypt.s2m,kingmaker,17173,11,6328320,6635520,307200,mixed-unknown,47,,PUE8G|Eb3sE|PUEbj|PUEh|fERbdE|E4vmE|ERbdE|EVfgE,
Egypt.s2m,kingmaker,17173,12,6635520,8736768,2101248,mixed-unknown,38,,jwEi|IE42LE|PUED|PUEOmkED|hEx5|jwEOmkED|jwEx5,
Egypt.s2m,kingmaker,17173,13,8736768,8998912,262144,mixed-unknown,36,,LinkageLayer1|LogicLayer1,
Egypt.s2m,kingmaker,17173,14,8998912,9523200,524288,mixed-unknown,35,,ProximityLayer1,
Egypt.s2m,kingmaker,17173,15,9523200,9556644,33444,entities-and-systems,72,,Action|ActorAssetsA|BuildingAssets|ClaimLayer1|Emitter|ScriptActionF|SearchLayer1|SplashEmitterC,66x67:3|69x70:3
Germany.s2m,kingmaker,17767,0,0,266240,266240,mixed-unknown,47,S2Game|Simulation|Floaters|Landscape,CrsmC|CtttB|DXhWD|Eu5fE|AE6WbE|AEHWyE|AENr|AEk1KE,
Germany.s2m,kingmaker,17767,1,266240,786432,520192,binary-opaque,35,,,
Germany.s2m,kingmaker,17767,2,786432,1187840,401408,grid-or-terrain,76,,,256x257:4|259x771:4|256x256:3|256x259:3|256x513:3|257x259:3
Germany.s2m,kingmaker,17767,3,1187840,1515520,327680,binary-opaque,35,,,
Germany.s2m,kingmaker,17767,4,1515520,1843200,327680,binary-opaque,35,,,
Germany.s2m,kingmaker,17767,5,1843200,2105344,262144,binary-opaque,35,,,
Germany.s2m,kingmaker,17767,6,2105344,2268557,163213,entities-and-systems,68,,ActorHandler|Campaign|EnvironmentalSound|FlyHandler|S2ActorHandler|S2FlyHandler|WorldMgr,
Germany.s2m,kingmaker,17767,7,2268557,4300800,2032243,environment-fx,81,FX_ENVIRONMENT_,FX_ENVIRONMENT_BROOK|FX_ENVIRONMENT_WINDLIGHT|FX_ENVIRONMENT_BEACH|FX_ENVIRONMENT_OCEAN|ActorMgr|BuildingHandler|BuildingMgr|ElementMgr,
Germany.s2m,kingmaker,17767,8,4300800,4681728,380928,grid-or-terrain,87,,H_YAD|xGEY|ActorGroup|AutoPlacement|B33s|BiDiPathfinder|Bridges|BuildingLayer,768x768:45|512x512:16|512x1024:15|96x255:6|81x255:3
Germany.s2m,kingmaker,17767,9,4681728,5148672,466944,mixed-unknown,47,,AAAA|ABBA|AAAAA|ABBAA|ABCDEFGHIJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJIHGFEDCBA|ABBBA|ABCDEFGHIJJJJJJJJJJJJJJJJJJJJJJJJJJJIHGFEDCBA|AAAAAAA,
Germany.s2m,kingmaker,17767,10,5148672,5480448,331776,mixed-unknown,47,,oEu5fE|AE7LiE|AEqWHE|AQEn2|BE7ItE|BEEK|BEIwlE|BET2,
Germany.s2m,kingmaker,17767,11,5480448,5742592,262144,mixed-unknown,47,,DyQhD|EZwPE|Ep5YE|Eu5fE|oEu5fE|DUEXD|DnraD|EDCjE,
Germany.s2m,kingmaker,17767,12,5742592,6266880,524288,mixed-unknown,47,,DKmYD|DRosD|DYzmD|E9F2E|EBBxE|ETTOE|EVtuE|EYGvE,
Germany.s2m,kingmaker,17767,13,6266880,6651904,385024,mixed-unknown,47,,CrsmC|ERP9E|D0LmD|DdEe3zE|DzzmD|EUhEE|EWfHE|rENQzE,
Germany.s2m,kingmaker,17767,14,6651904,7069696,417792,binary-opaque,35,,,
Germany.s2m,kingmaker,17767,15,7069696,7430144,360448,binary-opaque,35,,,
Germany.s2m,kingmaker,17767,16,7430144,8118272,688128,mixed-unknown,36,,CfpOC|DfpOC,
Germany.s2m,kingmaker,17767,17,8118272,8478720,360448,binary-opaque,35,,,
Germany.s2m,kingmaker,17767,18,8478720,8753152,274432,mixed-unknown,36,,CfpOC|DfpOC,
Germany.s2m,kingmaker,17767,19,8753152,9015296,262144,entities-and-systems,66,,LinkageLayer|LogicLayer,
Germany.s2m,kingmaker,17767,20,9015296,9539584,524288,entities-and-systems,65,,ProximityLayer,
Germany.s2m,kingmaker,17767,21,9539584,9571769,32185,entities-and-systems,67,,ActorAssets|BuildingAssets9|SearchLayer|SpreadLayer|TempLayer,
Great Britain.s2m,kingmaker,13947,0,0,266240,266240,core-simulation,92,S2Game|Simulation|Floaters|Landscape,PUEHNAEHNAE|AUE_OUE|AwY6B|CRE5LUE|DWJQD|DjF8E|Dt14Dc|E0EpE,
Great Britain.s2m,kingmaker,13947,1,266240,786432,520192,binary-opaque,35,,,
Great Britain.s2m,kingmaker,13947,2,786432,1187840,401408,binary-opaque,41,,,512x257:4|513x257:4|513x768:4|515x258:4|256x257:3|258x259:3
Great Britain.s2m,kingmaker,13947,3,1187840,1515520,327680,grid-or-terrain,73,,,512x1024:24|1024x1280:4|512x512:4
Great Britain.s2m,kingmaker,13947,4,1515520,1843200,327680,binary-opaque,35,,,
Great Britain.s2m,kingmaker,13947,5,1843200,2105344,262144,binary-opaque,35,,,
Great Britain.s2m,kingmaker,13947,6,2105344,2268569,163225,entities-and-systems,68,,ActorHandler|Campaign|EnvironmentalSound|FlyHandler|S2ActorHandler|S2FlyHandler|WorldMgr,
Great Britain.s2m,kingmaker,13947,7,2268569,4300800,2032231,environment-fx,83,FX_ENVIRONMENT_,FX_ENVIRONMENT_OCEAN|FX_ENVIRONMENT_BEACH|FX_ENVIRONMENT_BROOK|FX_ENVIRONMENT_BIRDSPARSE|FX_ENVIRONMENT_WINDHEAVY|FX_ENVIRONMENT_BIRDBUSY|FX_ENVIRONMENT_MARSH|FX_ENVIRONMENT_WINDLIGHT,
Great Britain.s2m,kingmaker,13947,8,4300800,4562944,262144,grid-or-terrain,85,,Cfff|C33s|B33s|Bfff|Afff|A33s|BDGHu|BiDiPathfinder,768x768:45|512x512:16|512x1024:15
Great Britain.s2m,kingmaker,13947,9,4562944,4829184,266240,entities-and-systems,77,,Actor|ActorGroup|Animal|AutoPlacement4|Building|BuildingLayer9|CarterCart|ChannelLayer9,
Great Britain.s2m,kingmaker,13947,10,4829184,5197824,368640,binary-opaque,35,,,
Great Britain.s2m,kingmaker,13947,11,5197824,5464064,266240,mixed-unknown,43,,DDZq|DDbeDDbeD|DangerLayer9|Db4mD|Db4mD4o|DesirabilityLayer9|Dw3hDivrD|E0EpE0EpE,
Great Britain.s2m,kingmaker,13947,12,5464064,5730304,266240,mixed-unknown,47,,DDbeD|PUEX2|PUEsf|CEscTE|CExYFE|CwY6Bu|DCdGETMvE|DDbeDDbeD,
Great Britain.s2m,kingmaker,13947,13,5730304,6004736,274432,mixed-unknown,47,,Db4mD|Dt14D|PUE36HE|CEscTE|DDZq|Dw3hD|E0EpE|EPikD,
Great Britain.s2m,kingmaker,13947,14,6004736,6266880,262144,mixed-unknown,47,,PUEX2|Ecq9E|PUEv|DFkKD|EzhGE|PUEHNAE|PUET9|PUETn,
Great Britain.s2m,kingmaker,13947,15,6266880,6557696,290816,mixed-unknown,47,,PUEsf|PUE6RyE|EQ6_E|PUE5i|PUElY|CwY6B|EEcuE|EHMKE,
Great Britain.s2m,kingmaker,13947,16,6557696,8802304,2244608,mixed-unknown,43,,DCdGE|E4YXE|E4YXE8pRE|EMF_E|EaH1E|VDxD|rtEm|DaH1E,
Great Britain.s2m,kingmaker,13947,17,8802304,9064448,262144,grid-or-terrain,73,,LinkageLayer9|LogicLayer9,256x256:151|512x512:75
Great Britain.s2m,kingmaker,13947,18,9064448,9588736,524288,mixed-unknown,35,,ProximityLayer9,
Great Britain.s2m,kingmaker,13947,19,9588736,9751898,163162,entities-and-systems,79,,DFbXH|HdF2|HhFA|Action|ActorAssetsI|BYEgF|BmEfF|BuildingAssetsH,74x75:15|78x79:5|76x75:3
India.s2m,kingmaker,12739,0,0,266240,266240,mixed-unknown,47,S2Game|Simulation|Floaters|Landscape,CWgIC|CWxrC|CpOrC|EYKaE|qC81|A2mrAx|AHqiA|B4nKC,
India.s2m,kingmaker,12739,1,266240,786432,520192,binary-opaque,35,,,
India.s2m,kingmaker,12739,2,786432,1187840,401408,binary-opaque,41,,,513x257:6|513x770:5|514x515:5|512x769:4|771x771:4|256x257:3
India.s2m,kingmaker,12739,3,1187840,1581056,393216,binary-opaque,37,,,1024x514:4|1280x1024:4
India.s2m,kingmaker,12739,4,1581056,1843200,262144,binary-opaque,35,,,
India.s2m,kingmaker,12739,5,1843200,2105344,262144,binary-opaque,35,,,
India.s2m,kingmaker,12739,6,2105344,2268569,163225,entities-and-systems,68,,ActorHandler|Campaign|EnvironmentalSound|FlyHandler|S2ActorHandler|S2FlyHandler|WorldMgr,
India.s2m,kingmaker,12739,7,2268569,4300800,2032231,environment-fx,80,FX_ENVIRONMENT_,FX_ENVIRONMENT_OCEAN|FX_ENVIRONMENT_BEACH|FX_ENVIRONMENT_WINDHEAVY|ActorMgr|BuildingHandler|BuildingMgr|ElementMgr|FX_ENVIRONMENT_BIRDSPARSE,
India.s2m,kingmaker,12739,8,4300800,4562944,262144,grid-or-terrain,86,,C33s|Cfff|Bfff|B33s|EHZb|G2A_D|GG4dD|GOeME,768x768:45|512x512:16|512x1024:15|40x40:5
India.s2m,kingmaker,12739,9,4562944,4886528,323584,mixed-unknown,48,,ABBA|AAAA|AAAAAAAA|AAAAAA|AABBBBA|ABBBAA|ABCDEFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFEDCBA|AABA,40x40:5
India.s2m,kingmaker,12739,10,4886528,5169152,282624,binary-opaque,35,,,
India.s2m,kingmaker,12739,11,5169152,5435392,266240,mixed-unknown,39,,CESuD|DangerLayer6|DesirabilityLayer6|DkxWD|EstateLayer6|FDa5vC|HeightLayer6|U4Dx,
India.s2m,kingmaker,12739,12,5435392,5750784,315392,mixed-unknown,47,,CWgIC|CWxrC|CpOrC|PUEYKaE|BcywC|qC81|A5u5B5|A7GZB,
India.s2m,kingmaker,12739,13,5750784,6131712,380928,mixed-unknown,47,,DlqlD|U4Dx|CESuD|CkxWD|Cw6EC|DG4dD|DkxWD|FDa5vC,
India.s2m,kingmaker,12739,14,6131712,6471680,339968,mixed-unknown,47,,CpOrC|CWxrC|BcywC|BzX8C|DgE3D|Dxx9D|pOrC|Bq4OB,
India.s2m,kingmaker,12739,15,6471680,8773632,2301952,mixed-unknown,47,,CWgIC|PUEYKaE|qC81|D0weD|D2A_D|DcAUD|E2xYE|E3miE,
India.s2m,kingmaker,12739,16,8773632,9035776,262144,grid-or-terrain,77,,LinkageLayer6|LogicLayer6,512x512:1959|32x32:168|544x544:69|32x544:27|544x32:26|544x512:14
India.s2m,kingmaker,12739,17,9035776,9560064,524288,grid-or-terrain,71,,ProximityLayer6,512x512:29
India.s2m,kingmaker,12739,18,9560064,9605287,45223,entities-and-systems,77,,Action|ActorAssetsF|BuildingAssetsE|ClaimLayer6|ClusterN|Emitter|S2Clan|ScriptActionM,408x100:30|468x113:30|69x69:30|70x70:30|76x77:6
Kill Barclay.s2m,warcampaign,13742,0,0,266240,266240,core-simulation,92,S2Game|Simulation|Floaters|Landscape,A7guAl|ATQKA|AjEr|AyeyA|BisQB|CEdZ|DHh1E|DNRHD,
Kill Barclay.s2m,warcampaign,13742,1,266240,786432,520192,binary-opaque,35,,,
Kill Barclay.s2m,warcampaign,13742,2,786432,1187840,401408,binary-opaque,41,,,513x257:6|259x257:5|514x514:5|256x257:3|258x259:3|512x257:3
Kill Barclay.s2m,warcampaign,13742,3,1187840,1572864,385024,binary-opaque,36,,,771x512:4
Kill Barclay.s2m,warcampaign,13742,4,1572864,1843200,270336,binary-opaque,35,,,
Kill Barclay.s2m,warcampaign,13742,5,1843200,2105344,262144,binary-opaque,35,,,
Kill Barclay.s2m,warcampaign,13742,6,2105344,3346432,1241088,grid-or-terrain,79,,ActorHandler|ActorMgr|BuildingHandler|BuildingMgr|Campaign|ElementMgr|EnvironmentalSound|FlyHandler,256x256:5|257x257:5
Kill Barclay.s2m,warcampaign,13742,7,3346432,3842048,495616,binary-opaque,35,,,
Kill Barclay.s2m,warcampaign,13742,8,3842048,4308992,466944,mixed-unknown,35,,OSFp,
Kill Barclay.s2m,warcampaign,13742,9,4308992,4587520,278528,grid-or-terrain,88,,GHkG|H7Ha|HtS9|Actor|ActorGroup|Animal|ArmedPeasant|BiDiPathfinder,768x1024:27|137x256:12|53x42:11|512x512:10|255x255:9|50x42:5
Kill Barclay.s2m,warcampaign,13742,10,4587520,5152768,565248,mixed-unknown,46,,Fel6H|JuNGu_|NHhs1G|Archer|Fel6HW|GJuNGu_|Knight|NHhs1GH,137x256:529|41x42:301|55x42:148|46x42:71|59x50:71|768x1024:27
Kill Barclay.s2m,warcampaign,13742,11,5152768,5414912,262144,grid-or-terrain,88,,H1EUE|HVPUE|HXOUE|Hd6UE|ASCTb6C5|AppleFarm|AppleTree|BDEB,256x256:231|59x42:148|512x512:81|56x42:71|72x256:20|59x86:17
Kill Barclay.s2m,warcampaign,13742,12,5414912,5677056,262144,grid-or-terrain,81,,AutoPlacementV|BuildingLayer|BurningLog|BurningLogTipper|ChannelLayer|ConnectionLayer|ContextLayer|Layer,512x512:18|59x42:12|71x512:12|77x42:12|79x42:10|72x512:9
